19^3 = 6859 =  a:3 b:10 c:18
14867^3 = 3286018652363 =  a:6976 b:10475 c:12158
14867^3 = 3286018652363 =  a:7932 b:9939 c:12176
14869^3 = 3287344996909 =  a:1740 b:7128 c:14293
14869^3 = 3287344996909 =  a:2244 b:3925 c:14760
14869^3 = 3287344996909 =  a:5966 b:10792 c:12205
14869^3 = 3287344996909 =  a:6517 b:8010 c:13566
14869^3 = 3287344996909 =  a:994 b:7630 c:14165
14951^3 = 3342032927351 =  a:5820 b:8028 c:13799
14983^3 = 3363538000087 =  a:3079 b:11722 c:11990
14983^3 = 3363538000087 =  a:6039 b:8058 c:13786
15073^3 = 3424515194017 =  a:2680 b:2892 c:15009
15073^3 = 3424515194017 =  a:3616 b:8097 c:14172
15073^3 = 3424515194017 =  a:5040 b:10977 c:12544
15073^3 = 3424515194017 =  a:5322 b:11689 c:11880
15073^3 = 3424515194017 =  a:6735 b:10035 c:12823
15073^3 = 3424515194017 =  a:7386 b:9385 c:12996
15073^3 = 3424515194017 =  a:9428 b:10441 c:11314
15241^3 = 3540302642521 =  a:1217 b:8374 c:14344
15241^3 = 3540302642521 =  a:4809 b:10948 c:12840
15241^3 = 3540302642521 =  a:6889 b:7494 c:14082
15241^3 = 3540302642521 =  a:7393 b:10254 c:12720
15319^3 = 3594936706759 =  a:4252 b:7103 c:14674
15619^3 = 3810304421659 =  a:1306 b:2443 c:15596
15619^3 = 3810304421659 =  a:2115 b:10938 c:13558
15619^3 = 3810304421659 =  a:2956 b:9010 c:14507
15619^3 = 3810304421659 =  a:67 b:11748 c:12984
15643^3 = 3827896052707 =  a:2232 b:3462 c:15571
15643^3 = 3827896052707 =  a:2916 b:3030 c:15571
15643^3 = 3827896052707 =  a:3273 b:6823 c:15147
15643^3 = 3827896052707 =  a:748 b:6003 c:15342
15749^3 = 3906240234749 =  a:2045 b:7892 c:15046
15749^3 = 3906240234749 =  a:8381 b:10246 c:13088
15749^3 = 3906240234749 =  a:8612 b:9630 c:13341
15901^3 = 4020437477701 =  a:1354 b:10469 c:14212
15901^3 = 4020437477701 =  a:1388 b:6934 c:15445
15901^3 = 4020437477701 =  a:8026 b:11400 c:12645
15901^3 = 4020437477701 =  a:9935 b:10651 c:12235
16103^3 = 4175614324727 =  a:198 b:9567 c:14888
16103^3 = 4175614324727 =  a:4535 b:7978 c:15290
16103^3 = 4175614324727 =  a:4959 b:11772 c:13430
16103^3 = 4175614324727 =  a:6228 b:8570 c:14895
16103^3 = 4175614324727 =  a:7172 b:7976 c:14887
16223^3 = 4269662081567 =  a:3944 b:11551 c:13868
16223^3 = 4269662081567 =  a:7240 b:7655 c:15098
16349^3 = 4369920956549 =  a:1724 b:5685 c:16110
16349^3 = 4369920956549 =  a:1726 b:6197 c:16040
16349^3 = 4369920956549 =  a:2501 b:7106 c:15868
16349^3 = 4369920956549 =  a:3524 b:4768 c:16157
16349^3 = 4369920956549 =  a:7340 b:10141 c:14312
16349^3 = 4369920956549 =  a:9527 b:11789 c:12313
16607^3 = 4580085200543 =  a:1679 b:11834 c:14290
16607^3 = 4580085200543 =  a:5232 b:5535 c:16220
16607^3 = 4580085200543 =  a:7819 b:8645 c:15119
16607^3 = 4580085200543 =  a:8950 b:10415 c:13982
16631^3 = 4599970967591 =  a:6851 b:11827 c:13793
16631^3 = 4599970967591 =  a:8756 b:9210 c:14655
16633^3 = 4601630708137 =  a:3489 b:12132 c:14050
16633^3 = 4601630708137 =  a:5478 b:9762 c:15193
16633^3 = 4601630708137 =  a:8226 b:12546 c:12745
16633^3 = 4601630708137 =  a:9508 b:10100 c:13945
16657^3 = 4621578745393 =  a:2788 b:7578 c:16089
16657^3 = 4621578745393 =  a:4003 b:12681 c:13605
16657^3 = 4621578745393 =  a:9825 b:11394 c:12994
16843^3 = 4778134229107 =  a:10516 b:11787 c:12552
16883^3 = 4812257537387 =  a:1227 b:4350 c:16784
17389^3 = 5258039234869 =  a:3304 b:11214 c:15621
17431^3 = 5296230873991 =  a:10060 b:12759 c:13008
17431^3 = 5296230873991 =  a:6095 b:8758 c:16384
17431^3 = 5296230873991 =  a:6586 b:11138 c:15367
17497^3 = 5356619222473 =  a:11017 b:11334 c:13686
17497^3 = 5356619222473 =  a:2592 b:5169 c:17326
17497^3 = 5356619222473 =  a:5028 b:12241 c:15030
17497^3 = 5356619222473 =  a:6246 b:12241 c:14856
17497^3 = 5356619222473 =  a:7209 b:7282 c:16626
17497^3 = 5356619222473 =  a:8137 b:12251 c:14389
17539^3 = 5395286161819 =  a:1328 b:6862 c:17179
17539^3 = 5395286161819 =  a:235 b:12562 c:15056
17539^3 = 5395286161819 =  a:3364 b:4422 c:17403
17539^3 = 5395286161819 =  a:4540 b:7867 c:16886
17599^3 = 5450846772799 =  a:10431 b:11400 c:14152
17599^3 = 5450846772799 =  a:2658 b:6183 c:17320
17599^3 = 5450846772799 =  a:5367 b:11524 c:15558
17623^3 = 5473177383367 =  a:1647 b:13726 c:14232
17623^3 = 5473177383367 =  a:4359 b:8542 c:16830
17623^3 = 5473177383367 =  a:9342 b:13159 c:13350
17683^3 = 5529270550987 =  a:1894 b:11587 c:15830
17683^3 = 5529270550987 =  a:7422 b:10195 c:15954
17783^3 = 5623608587687 =  a:5522 b:7135 c:17204
17827^3 = 5665454988283 =  a:3995 b:7894 c:17224
17903^3 = 5738223173327 =  a:1096 b:8687 c:17192
17903^3 = 5738223173327 =  a:2644 b:12119 c:15794
17903^3 = 5738223173327 =  a:3655 b:3854 c:17792
17903^3 = 5738223173327 =  a:8482 b:12119 c:14960
17989^3 = 5821314532669 =  a:2806 b:4776 c:17853
17989^3 = 5821314532669 =  a:6226 b:11490 c:15957
18143^3 = 5972103170207 =  a:2505 b:4211 c:18051
18143^3 = 5972103170207 =  a:3046 b:6191 c:17870
18143^3 = 5972103170207 =  a:4292 b:4639 c:17960
18143^3 = 5972103170207 =  a:4919 b:5272 c:17870
18301^3 = 6129491724901 =  a:10261 b:10648 c:15662
18301^3 = 6129491724901 =  a:2914 b:10268 c:17125
18301^3 = 6129491724901 =  a:5440 b:9917 c:17092
18379^3 = 6208199053939 =  a:1912 b:6946 c:18035
18379^3 = 6208199053939 =  a:308 b:3403 c:18340
18379^3 = 6208199053939 =  a:3123 b:9138 c:17560
18379^3 = 6208199053939 =  a:3922 b:6556 c:18035
18413^3 = 6242717170997 =  a:2876 b:4205 c:18316
18413^3 = 6242717170997 =  a:3008 b:9652 c:17453
18413^3 = 6242717170997 =  a:3701 b:7880 c:17866
18413^3 = 6242717170997 =  a:371 b:14159 c:15043
18413^3 = 6242717170997 =  a:621 b:6246 c:18170
18413^3 = 6242717170997 =  a:6766 b:11717 c:16292
18413^3 = 6242717170997 =  a:7880 b:12205 c:15788
18413^3 = 6242717170997 =  a:964 b:11909 c:16574
18433^3 = 6263081588737 =  a:342 b:13402 c:15681
18433^3 = 6263081588737 =  a:5311 b:9585 c:17361
18583^3 = 6417228161287 =  a:10922 b:12304 c:14815
18679^3 = 6517197260839 =  a:1135 b:9523 c:17813
18679^3 = 6517197260839 =  a:3999 b:12669 c:16411
18679^3 = 6517197260839 =  a:5220 b:11596 c:16887
18731^3 = 6571778111891 =  a:4670 b:5507 c:18472
19001^3 = 6860083057001 =  a:5276 b:13758 c:16017
19037^3 = 6899149083653 =  a:1224 b:9461 c:18222
19073^3 = 6938363142017 =  a:132 b:7278 c:18713
19073^3 = 6938363142017 =  a:3937 b:14930 c:15254
19163^3 = 7037047763747 =  a:4954 b:7484 c:18659
19163^3 = 7037047763747 =  a:7158 b:14483 c:15372
19163^3 = 7037047763747 =  a:8691 b:9678 c:17624
19267^3 = 7152243507163 =  a:10692 b:13696 c:14979
19267^3 = 7152243507163 =  a:2091 b:13048 c:17010
19267^3 = 7152243507163 =  a:3294 b:14691 c:15802
19267^3 = 7152243507163 =  a:3562 b:9412 c:18443
19267^3 = 7152243507163 =  a:556 b:2427 c:19254
19267^3 = 7152243507163 =  a:5995 b:7892 c:18610
19267^3 = 7152243507163 =  a:9804 b:13131 c:15802
19301^3 = 7190174527901 =  a:4683 b:14721 c:15737
19301^3 = 7190174527901 =  a:5510 b:6301 c:18920
19301^3 = 7190174527901 =  a:5944 b:13421 c:16586
19301^3 = 7190174527901 =  a:6269 b:15006 c:15276
19423^3 = 7327383639967 =  a:1062 b:2566 c:19407
19423^3 = 7327383639967 =  a:2008 b:8224 c:18911
19507^3 = 7422863116843 =  a:4104 b:12946 c:17307
19507^3 = 7422863116843 =  a:547 b:2162 c:19498
19541^3 = 7461744157421 =  a:1450 b:13148 c:17309
19541^3 = 7461744157421 =  a:2225 b:3189 c:19503
19541^3 = 7461744157421 =  a:7040 b:10133 c:18244
19759^3 = 7714270862479 =  a:1923 b:14847 c:16429
19759^3 = 7714270862479 =  a:2896 b:15310 c:16007
19759^3 = 7714270862479 =  a:6754 b:13023 c:17322
19759^3 = 7714270862479 =  a:7860 b:11634 c:17815
19891^3 = 7869911564971 =  a:1202 b:15451 c:16108
19891^3 = 7869911564971 =  a:2004 b:9030 c:19243
19891^3 = 7869911564971 =  a:6288 b:10818 c:18523
19891^3 = 7869911564971 =  a:8823 b:9459 c:18505
19891^3 = 7869911564971 =  a:9459 b:14082 c:16174
19919^3 = 7903193128559 =  a:12392 b:13991 c:14830
19919^3 = 7903193128559 =  a:2662 b:4052 c:19847
19919^3 = 7903193128559 =  a:3956 b:4111 c:19808
19919^3 = 7903193128559 =  a:5462 b:11852 c:18247
